season,tim,grup,role,role_asli,pemain,link,negara,catatan
15,Natus Vincere,Subs,EXP,EXP Lane,Febbb,/mobilelegends/Febbb,Indonesia,
15,Natus Vincere,Subs,Jungle,Jungler,Aether,/mobilelegends/Aether,Indonesia,
15,Natus Vincere,Subs,Roam,Roamer,HanafiTzy,/mobilelegends/HanafiTzy,Indonesia,
15,Natus Vincere,Former,Gold,Gold Lane,Zeonn,/mobilelegends/index.php?title=Zeonn&action=edit&redlink=1,Indonesia,Left
15,Natus Vincere,Staff,,,Aldo,/mobilelegends/Aldo,Indonesia,Head Coach
15,Natus Vincere,Staff,,,Raiden,/mobilelegends/Raiden,Indonesia,Analyst
15,ONIC,Main,EXP,EXP Lane,Lutpiii,/mobilelegends/Lutpiii,Indonesia,
15,ONIC,Main,Jungle,Jungler,Kairi,/mobilelegends/Kairi,Philippines,
15,ONIC,Main,Mid,Middle,Sanz,/mobilelegends/S_A_N_Z,Indonesia,
15,ONIC,Main,Gold,Gold Lane,Savero,/mobilelegends/Savero,Indonesia,
15,ONIC,Main,Roam,Roamer,Kiboy,/mobilelegends/Kiboy,Indonesia,
15,ONIC,Subs,EXP,EXP Lane,Ryota,/mobilelegends/Ryota,Philippines,
15,ONIC,Subs,Jungle,Jungler,Nnael,/mobilelegends/Nnael,Indonesia,
15,ONIC,Subs,Gold,Gold Lane,CW,/mobilelegends/CW,Indonesia,
15,ONIC,Former,EXP,EXP Lane,Rezzz,/mobilelegends/Rezzz,Indonesia,Left
15,ONIC,Staff,,,Yeb,/mobilelegends/Yeb,Philippines,Head Coach
15,ONIC,Staff,,,Adi,/mobilelegends/Adi,Indonesia,Assistant Coach
15,ONIC,Staff,,,Paddington,/mobilelegends/Paddington,Indonesia,Analyst
15,RRQ Hoshi,Main,EXP,EXP Lane,Dyrennn,/mobilelegends/Dyrennn,Indonesia,
15,RRQ Hoshi,Main,Jungle,Jungler,Sutsujin,/mobilelegends/Sutsujin,Indonesia,
15,RRQ Hoshi,Main,Mid,Middle,Rinz,/mobilelegends/Rinz,Indonesia,
15,RRQ Hoshi,Main,Gold,Gold Lane,Toyy,/mobilelegends/Toyy,Indonesia,
15,RRQ Hoshi,Main,Roam,Roamer,Idok,/mobilelegends/Idok,Indonesia,
15,RRQ Hoshi,Subs,Jungle,Jungler,Chenn,/mobilelegends/Chenn,Indonesia,
15,RRQ Hoshi,Former,Jungle,Jungler,Hazle,/mobilelegends/Hazle,Indonesia,Left
15,RRQ Hoshi,Staff,,,Khezcute,/mobilelegends/Khezcute,Indonesia,Head Coach
15,RRQ Hoshi,Staff,,,Rave,/mobilelegends/Rave,Indonesia,Assistant Coach
15,RRQ Hoshi,Staff,,,NMM,/mobilelegends/NMM,Indonesia,Analyst
15,Team Liquid ID,Main,EXP,EXP Lane,Aran,/mobilelegends/Aran,Indonesia,
15,Team Liquid ID,Main,Jungle,Jungler,Faviannn,/mobilelegends/Faviannn,Indonesia,
15,Team Liquid ID,Main,Mid,Middle,Yehezkiel,/mobilelegends/Yehezkiel,Indonesia,
15,Team Liquid ID,Main,Gold,Gold Lane,Kyou,/mobilelegends/Kyou,Indonesia,
15,Team Liquid ID,Main,Roam,Roamer,Widy,/mobilelegends/Widy,Indonesia,
15,Team Liquid ID,Subs,Gold,Gold Lane,AeronnShikii,/mobilelegends/AeronnShikii,Indonesia,
15,Team Liquid ID,Staff,,,SaintDeLucaz,/mobilelegends/SaintDeLucaz,Indonesia,Head Coach
15,Team Liquid ID,Staff,,,Facehugger,/mobilelegends/Facehugger,Indonesia,Analyst
16,Alter Ego,Main,EXP,EXP Lane,Nino,/mobilelegends/Nino,Indonesia,
16,Alter Ego,Main,Jungle,Jungler,Yazukee,/mobilelegends/Yazukee,Indonesia,
16,Alter Ego,Main,Mid,Middle,Hijumee,/mobilelegends/Hijumee,Indonesia,
16,Alter Ego,Main,Gold,Gold Lane,Arfy,/mobilelegends/Arfy,Indonesia,
16,Alter Ego,Main,Roam,Roamer,alekk,/mobilelegends/Alekk,Indonesia,
16,Alter Ego,Subs,Jungle,Jungler,Rinee,/mobilelegends/Rinee,Indonesia,
16,Alter Ego,Subs,Mid,Middle,Cyruz,/mobilelegends/Cyruz,Indonesia,
16,Alter Ego,Subs,Roam,Roamer,Ivann,/mobilelegends/Ivann,Indonesia,
16,Alter Ego,Staff,,,Xepher,/mobilelegends/Xepher,Indonesia,Head Coach
16,Alter Ego,Staff,,,Styx,/mobilelegends/Styx,Indonesia,Assistant Coach
16,Bigetron by Vitality,Main,EXP,EXP Lane,Shogun,/mobilelegends/Shogun,Indonesia,
16,Bigetron by Vitality,Main,Jungle,Jungler,Nnael,/mobilelegends/Nnael,Indonesia,
16,Bigetron by Vitality,Main,Mid,Middle,Moreno,/mobilelegends/Moreno,Indonesia,
16,Bigetron by Vitality,Main,Gold,Gold Lane,EMANN,/mobilelegends/EMANN,Philippines,
16,Bigetron by Vitality,Main,Roam,Roamer,Finn,/mobilelegends/Finn,Indonesia,
16,Bigetron by Vitality,Subs,Jungle,Jungler,Ronn,/mobilelegends/Ronn,Indonesia,
16,Bigetron by Vitality,Staff,,,Bam,/mobilelegends/Bam,Philippines,Head Coach
16,Bigetron by Vitality,Staff,,,Erpang,/mobilelegends/Erpang,Indonesia,Assistant Coach
16,Bigetron by Vitality,Staff,,,Barbossa,/mobilelegends/Barbossa,Indonesia,Analyst
16,Dewa United Esports,Main,EXP,EXP Lane,QINN,/mobilelegends/QINN,Philippines,
16,Dewa United Esports,Main,Jungle,Jungler,Reyy,/mobilelegends/Reyy,Indonesia,
16,Dewa United Esports,Main,Mid,Middle,Octa,/mobilelegends/Octa,Indonesia,
16,Dewa United Esports,Main,Gold,Gold Lane,Maybeee,/mobilelegends/Maybeee,Indonesia,
16,Dewa United Esports,Main,Roam,Roamer,Muezza,/mobilelegends/Muezzaa,Indonesia,
16,Dewa United Esports,Subs,EXP,EXP Lane,Markk,/mobilelegends/index.php?title=Markk&action=edit&redlink=1,Indonesia,
16,Dewa United Esports,Subs,Jungle,Jungler,Vanz,/mobilelegends/Vanz,Indonesia,
16,Dewa United Esports,Staff,,,Right,/mobilelegends/Right,Philippines,Head Coach
16,Dewa United Esports,Staff,,,Aceng,/mobilelegends/Wongcoco,Indonesia,Analyst
16,EVOS,Main,EXP,EXP Lane,Rendyy,/mobilelegends/index.php?title=Rendyy&action=edit&redlink=1,Indonesia,
16,EVOS,Main,Jungle,Jungler,Alberttt,/mobilelegends/Alberttt,Indonesia,
16,EVOS,Main,Mid,Middle,Swaylow,/mobilelegends/SwayLow,Indonesia,
16,EVOS,Main,Gold,Gold Lane,Erlan,/mobilelegends/Erlan,Indonesia,
16,EVOS,Main,Roam,Roamer,Kyy,/mobilelegends/Kyy,Indonesia,
16,EVOS,Subs,EXP,EXP Lane,Xorizo,/mobilelegends/Xorizo,Indonesia,
16,EVOS,Subs,Mid,Middle,RoundeL,/mobilelegends/RoundeL,Indonesia,
16,EVOS,Subs,Gold,Gold Lane,Branz,/mobilelegends/Branz,Indonesia,
16,EVOS,Staff,,,VYN,/mobilelegends/VYN,Indonesia,Coach
16,EVOS,Staff,,,Bravo,/mobilelegends/Bravo,Indonesia,Analyst
16,Geek Fam ID,Main,EXP,EXP Lane,Gobs,/mobilelegends/Gobs,Indonesia,
16,Geek Fam ID,Main,Jungle,Jungler,Maykids,/mobilelegends/Maykids,Indonesia,
16,Geek Fam ID,Main,Mid,Middle,A B O Y,/mobilelegends/A_B_O_Y,Indonesia,
