season,week,day,timestamp,tim1,kode1,skor1,skor2,kode2,tim2,status,mvp,mvp_link,mvp_kode
16,1,1,1755861300,Natus Vincere,NAVI,0,2,EVOS,EVOS,selesai,Alberttt,/mobilelegends/Alberttt,EVOS
16,1,2,1755933300,Team Liquid ID,TLID,1,2,GEEK,Geek Fam ID,selesai,Gobs,/mobilelegends/Gobs,GEEK
16,1,2,1755944100,ONIC,ONIC,2,0,BTR,Bigetron by Vitality,selesai,S A N Z,/mobilelegends/S_A_N_Z,ONIC
16,1,2,1755954900,RRQ Hoshi,RRQ,2,1,AE,Alter Ego,selesai,Idok,/mobilelegends/Idok,RRQ
16,1,3,1756019700,Bigetron by Vitality,BTR,1,2,NAVI,Natus Vincere,selesai,Karss,/mobilelegends/Karss,NAVI
16,1,3,1756030500,Geek Fam ID,GEEK,2,0,RRQ,RRQ Hoshi,selesai,Baloyskie,/mobilelegends/Baloyskie,GEEK
16,1,3,1756041300,Alter Ego,AE,2,0,DEWA,Dewa United Esports,selesai,Cyruz,/mobilelegends/Cyruz,AE
16,2,1,1756455300,ONIC,ONIC,2,0,GEEK,Geek Fam ID,selesai,Kairi,/mobilelegends/Kairi,ONIC
16,2,1,1756466100,Dewa United Esports,DEWA,2,0,NAVI,Natus Vincere,selesai,QINN,/mobilelegends/QINN,DEWA
16,2,2,1756538100,Geek Fam ID,GEEK,0,2,BTR,Bigetron by Vitality,selesai,Nnael,/mobilelegends/Nnael,BTR
16,2,2,1756548900,Alter Ego,AE,2,1,EVOS,EVOS,selesai,Arfy,/mobilelegends/Arfy,AE
16,2,2,1756559700,Team Liquid ID,TLID,1,2,DEWA,Dewa United Esports,selesai,QINN,/mobilelegends/QINN,DEWA
16,2,3,1756624500,Natus Vincere,NAVI,2,0,AE,Alter Ego,selesai,UK1R,/mobilelegends/UK1R,NAVI
16,2,3,1756635300,RRQ Hoshi,RRQ,2,0,TLID,Team Liquid ID,selesai,Idok,/mobilelegends/Idok,RRQ
16,2,3,1756646100,Bigetron by Vitality,BTR,2,1,EVOS,EVOS,selesai,Shogun,/mobilelegends/Shogun,BTR
16,3,1,1757060100,Natus Vincere,NAVI,0,2,RRQ,RRQ Hoshi,selesai,Idok,/mobilelegends/Idok,RRQ
16,3,1,1757070900,EVOS,EVOS,2,0,TLID,Team Liquid ID,selesai,Alberttt,/mobilelegends/Alberttt,EVOS
16,3,2,1757142900,EVOS,EVOS,2,0,GEEK,Geek Fam ID,selesai,Rendyy,/mobilelegends/index.php?title=Rendyy&action=edit&redlink=1,EVOS
16,3,2,1757153700,Bigetron by Vitality,BTR,2,1,AE,Alter Ego,selesai,EMANN,/mobilelegends/EMANN,BTR
16,3,2,1757164500,RRQ Hoshi,RRQ,0,2,ONIC,ONIC,selesai,S A N Z,/mobilelegends/S_A_N_Z,ONIC
16,3,3,1757229300,Dewa United Esports,DEWA,1,2,BTR,Bigetron by Vitality,selesai,EMANN,/mobilelegends/EMANN,BTR
16,3,3,1757240100,Alter Ego,AE,1,2,ONIC,ONIC,selesai,Kairi,/mobilelegends/Kairi,ONIC
16,3,3,1757250900,Team Liquid ID,TLID,0,2,NAVI,Natus Vincere,selesai,Andoryuuu,/mobilelegends/Andoryuuu,NAVI
16,4,1,1757664900,Natus Vincere,NAVI,1,2,ONIC,ONIC,selesai,Kiboy,/mobilelegends/Kiboy,ONIC
16,4,1,1757675700,EVOS,EVOS,2,0,DEWA,Dewa United Esports,selesai,Alberttt,/mobilelegends/Alberttt,EVOS
16,4,2,1757747700,Team Liquid ID,TLID,0,2,BTR,Bigetron by Vitality,selesai,Finn,/mobilelegends/Finn,BTR
16,4,2,1757758500,RRQ Hoshi,RRQ,2,0,EVOS,EVOS,selesai,Sutsujin,/mobilelegends/Sutsujin,RRQ
